date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:15	684/684	---MCZ	200	added ('OK')	text/plain	etag:W/%225e2f68a7-80a%22	https://themes.getbootstrap.com/robots.txt		(from )
09:52:16	16588/16588	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20May%202022%2002:52:14%20GMT	https://themes.getbootstrap.com/preview/?theme_id=33181	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/preview/indexe32c.html	(from )
09:52:16	10078/10078	---M--	200	added ('OK')	image/png	etag:%225df25c3f-275e%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/apple-touch-icon.png	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/apple-touch-icon.png	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:16	1640/1640	---M--	200	added ('OK')	image/png	etag:%225df25c3f-668%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-32x32.png	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-32x32.png	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:16	977/977	---M--	200	added ('OK')	image/png	etag:%225df25c3f-3d1%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-16x16.png	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/images/fav/favicon-16x16.png	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:17	41467/41467	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68ab-a1fb%22	https://themes.getbootstrap.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-includes/css/dist/block-library/style.minde54.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:17	30440/30440	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68a9-76e8%22	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:17	16542/16542	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68a8-409e%22	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.1	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:17	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68a8-1a66%22	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.1	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:17	0/0	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20May%202022%2002:52:16%20GMT	https://themes.getbootstrap.com/preview/	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/preview/index.html	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:18	62669/62669	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68a8-f4cd%22	https://themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.1	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce7e2e.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:18	31047/31047	---MCZ	200	added ('OK')	text/css	etag:W/%225e2f68a8-7947%22	https://themes.getbootstrap.com/wp-content/plugins/dokan-lite/assets/vendors/font-awesome/font-awesome.min.css?ver=2.9.27	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/plugins/dokan-lite/assets/vendors/font-awesome/font-awesome.min3b90.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:18	23314/23314	---MCZ	200	added ('OK')	text/css	etag:W/%225df25c3f-5b12%22	https://themes.getbootstrap.com/wp-content/themes/dokan/assets/css/skins/purple.css	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/dokan/assets/css/skins/purple.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:18	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e2f68ab-17a69%22	https://themes.getbootstrap.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-includes/js/jquery/jquery4a5f.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:18	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-2748%22	https://themes.getbootstrap.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:19	419559/419559	---MCZ	200	added ('OK')	text/css	etag:W/%225ecece94-666e7%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style.css?ver=1590611604	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/style94c8.css	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:19	150283/150283	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-24b0b%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
09:52:20	201572/201572	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df25c3f-31364%22	https://themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.bundle.min.js	C:/BikeSale_FE/BikeSale_FE/themes.getbootstrap.com/wp-content/themes/bootstrap-marketplace/assets/javascript/Chart.bundle.min.js	(from https://themes.getbootstrap.com/preview/?theme_id=33181)
